Rank,Title,Year,Rating,Views,Link
1, Nhà tù Shawshank,1994,9.3,2.8M,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
2, Bố Già,1972,9.2,2M,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
3, Kỵ Sĩ Bóng Đêm,2008,9.0,2.8M,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
4, Bố Già Phần II,1974,9.0,1.3M,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
5, 12 Người Đàn Ông Giận Dữ,1957,9.0,839K,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
6, Bản Danh Sách Của Schindler,1993,9.0,1.4M,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6
7, Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,2003,9.0,1.9M,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7
8, Chuyện Tào Lao,1994,8.9,2.2M,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
9, Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,2001,8.8,2M,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
10," Thiện, Ác, Tà",1966,8.8,794K,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
11, Cuộc Đời Forrest Gump,1994,8.8,2.2M,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
12, Sàn Đấu Sinh Tử,1999,8.8,2.3M,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_12
13, Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,2002,8.8,1.7M,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_13
14, Kẻ Đánh Cắp Giấc Mơ,2010,8.8,2.5M,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
15, Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,1980,8.7,1.3M,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
16, Ma Trận,1999,8.7,2M,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
17, Chiến Hữu,1990,8.7,1.2M,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
18, Bay Trên Tổ Chim Cúc Cu,1975,8.7,1M,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18
